Match_id,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,BattingTeam_1
1004261,G Malla,AK Mandal,S Vesawkar,P Khadka,Sagar Pun,R Rijal,B Bhandari,Sompal Kami,B Regmi,Karan KC,S Lamichhane,Nepal
1004269,C Carter,KD Shah,Babar Hayat,Nizakat Khan,Anshuman Rath,Tanwir Afzal,Nadeem Ahmed,Aizaz Khan,Ehsan Khan,Tanveer Ahmed,NaN,Hong Kong
1004283,KJ Coetzer,CD Wallace,CS MacLeod,MH Cross,RD Berrington,PL Mommsen,CD de Lange,SM Sharif,CB Sole,AC Evans,MRJ Watt,Scotland
1004285,KJ Coetzer,MH Cross,CS MacLeod,MA Leask,RD Berrington,CD de Lange,CD Wallace,SM Sharif,MRJ Watt,AC Evans,CB Sole,Scotland
1007649,PJ Moor,CJ Chibhabha,H Masakadza,CR Ervine,V Sibanda,Sikandar Raza,E Chigumbura,R Mutumbami,AG Cremer,TL Chatara,T Muzarabani,Zimbabwe
1007651,H Masakadza,CJ Chibhabha,PJ Moor,V Sibanda,Sikandar Raza,E Chigumbura,R Mutumbami,AG Cremer,TL Chatara,T Muzarabani,NaN,Zimbabwe
1007653,H Masakadza,CJ Chibhabha,V Sibanda,T Maruma,MN Waller,E Chigumbura,AG Cremer,N Madziva,R Mutumbami,T Mupariwa,DT Tiripano,Zimbabwe
1014845,DM Gondaria,IA Karim,MA Ouma,CO Obuya,RR Patel,Gurdeep Singh,NM Odhiambo,NN Odhiambo,SO Ngoche,LN Oluoch,E Otieno,Kenya
1014847,L Siaka,VV Morea,A Vala,S Bau,MD Dai,CJA Amini,JNT Vare,JB Reva,CA Soper,N Vanua,N Pokana,Papua New Guinea
1019973,MJ Guptill,TWM Latham,KS Williamson,NT Broom,JDS Neesham,C Munro,L Ronchi,MJ Santner,TG Southee,TA Boult,LH Ferguson,New Zealand
1019975,MJ Guptill,KS Williamson,TWM Latham,NT Broom,JDS Neesham,C Munro,L Ronchi,MJ Santner,TG Southee,LH Ferguson,TA Boult,New Zealand
1019977,Tamim Iqbal,Imrul Kayes,Sabbir Rahman,Mahmudullah,Shakib Al Hasan,Mosaddek Hossain,Nurul Hasan,Tanbir Hayder,Mashrafe Mortaza,Taskin Ahmed,Mustafizur Rahman,Bangladesh
1020013,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,NT Broom,C Munro,JDS Neesham,MJ Santner,TG Southee,LH Ferguson,TA Boult,New Zealand
1020031,DG Brownlie,TWM Latham,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,MJ Santner,C de Grandhomme,TG Southee,TA Boult,IS Sodhi,New Zealand
1020033,DG Brownlie,TWM Latham,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,TG Southee,TA Boult,C de Grandhomme,IS Sodhi,MJ Santner,New Zealand
1020035,Q de Kock,HM Amla,F du Plessis,AB de Villiers,JP Duminy,DA Miller,D Pretorius,WD Parnell,AL Phehlukwayo,K Rabada,Imran Tahir,South Africa
1020037,HM Amla,Q de Kock,F du Plessis,JP Duminy,AB de Villiers,DA Miller,D Pretorius,CH Morris,WD Parnell,K Rabada,Imran Tahir,South Africa
1020039,MJ Guptill,DG Brownlie,KS Williamson,L Ronchi,LRPL Taylor,JDS Neesham,MJ Santner,C de Grandhomme,TG Southee,JS Patel,TA Boult,New Zealand
1022347,Tamim Iqbal,Soumya Sarkar,Imrul Kayes,Mushfiqur Rahim,Shakib Al Hasan,Sabbir Rahman,Mahmudullah,Mosaddek Hossain,Mashrafe Mortaza,Mustafizur Rahman,Rubel Hossain,Bangladesh
1022349,MJ Guptill,L Ronchi,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,CJ Anderson,AF Milne,MJ Santner,TA Boult,TG Southee,New Zealand
1022351,HM Amla,Q de Kock,F du Plessis,AB de Villiers,DA Miller,JP Duminy,CH Morris,WD Parnell,K Rabada,M Morkel,Imran Tahir,South Africa
1022353,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,HH Pandya,B Kumar,UT Yadav,JJ Bumrah,RA Jadeja,NaN,NaN,India
1022355,Tamim Iqbal,Soumya Sarkar,Imrul Kayes,Mushfiqur Rahim,Shakib Al Hasan,Sabbir Rahman,Mahmudullah,Mehedi Hasan Miraz,Mashrafe Mortaza,Rubel Hossain,Mustafizur Rahman,Bangladesh
1022357,JJ Roy,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,AU Rashid,LE Plunkett,MA Wood,JT Ball,England
1022359,Q de Kock,HM Amla,F du Plessis,AB de Villiers,DA Miller,JP Duminy,WD Parnell,CH Morris,K Rabada,M Morkel,Imran Tahir,South Africa
1022361,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,HH Pandya,KM Jadhav,RA Jadeja,B Kumar,UT Yadav,JJ Bumrah,India
1022363,MJ Guptill,L Ronchi,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,CJ Anderson,MJ Santner,AF Milne,TG Southee,TA Boult,New Zealand
1022365,DA Warner,AJ Finch,SPD Smith,MC Henriques,TM Head,GJ Maxwell,MS Wade,MA Starc,PJ Cummins,A Zampa,JR Hazlewood,Australia
1022367,Q de Kock,HM Amla,F du Plessis,AB de Villiers,DA Miller,JP Duminy,CH Morris,AL Phehlukwayo,K Rabada,M Morkel,Imran Tahir,South Africa
1022369,N Dickwella,MD Gunathilaka,BKG Mendis,LD Chandimal,AD Mathews,DM de Silva,DAS Gunaratne,NLTC Perera,RAS Lakmal,SL Malinga,N Pradeep,Sri Lanka
1022371,JM Bairstow,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,AU Rashid,LE Plunkett,MA Wood,JT Ball,England
1022375,Azhar Ali,Fakhar Zaman,Babar Azam,Shoaib Malik,Mohammad Hafeez,Imad Wasim,Mohammad Amir,Junaid Khan,Hasan Ali,Shadab Khan,NaN,Pakistan
1023583,JJ Peirson,BB McCullum,AI Ross,CA Lynn,BCJ Cutting,JA Burns,JS Floros,S Badree,MT Steketee,JD Wildermuth,MJ Swepson,Brisbane Heat
1023589,M Klinger,SM Whiteman,IR Bell,MR Marsh,DJ Willey,AJ Turner,AC Voges,AC Agar,JA Richardson,AJ Tye,MG Johnson,Perth Scorchers
1023595,KR Patterson,RJ Gibson,SR Watson,EJG Morgan,AD Russell,BJ Rohrer,PJ Cummins,CJ Green,CJ McKay,Fawad Ahmed,NaN,Sydney Thunder
1023599,DJM Short,TD Paine,KC Sangakkara,GJ Bailey,DT Christian,JW Wells,HP Kingston,CJ Boyce,CA Rose,SCJ Broad,SW Tait,Hobart Hurricanes
1023611,GJ Maxwell,LJ Wright,KP Pietersen,DJ Hussey,JP Faulkner,MP Stoinis,SB Harper,A Zampa,BW Hilfenhaus,SM Boland,MA Beer,Melbourne Stars
1023629,DP Hughes,MJ Lumb,NJ Maddinson,MC Henriques,C Munro,BJ Haddin,SA Abbott,J Botha,BJ Dwarshuis,NM Lyon,JM Bird,Sydney Sixers
1023635,RJ Quiney,KP Pietersen,SE Gotch,LJ Wright,MP Stoinis,DJ Hussey,EP Gulbis,BW Hilfenhaus,A Zampa,MA Beer,SM Boland,Melbourne Stars
1023639,MS Harris,AJ Finch,CL White,TLW Cooper,CJ Ferguson,NLTC Perera,SP Narine,JL Pattinson,NJ Rimmington,GB Hogg,NaN,Melbourne Renegades
1023649,DP Hughes,MJ Lumb,NJ Maddinson,MC Henriques,BJ Haddin,JC Silk,J Botha,SA Abbott,BJ Dwarshuis,NM Lyon,JM Bird,Sydney Sixers
1026847,C Carter,KD Shah,Nizakat Khan,Babar Hayat,Anshuman Rath,Shahid Wasif,Ehsan Khan,Tanwir Afzal,Aizaz Khan,Nadeem Ahmed,Tanveer Ahmed,Hong Kong
1026849,TP Ura,VV Morea,L Siaka,A Vala,S Bau,D Bau,MD Dai,H Hiri,JB Reva,CA Soper,N Vanua,Papua New Guinea
1026851,TP Ura,VV Morea,L Siaka,A Vala,S Bau,D Bau,MD Dai,CA Soper,H Hiri,N Vanua,JB Reva,Papua New Guinea
1027315,JJ Roy,SW Billings,JE Root,EJG Morgan,JC Buttler,BA Stokes,MM Ali,CR Woakes,ST Finn,LE Plunkett,AU Rashid,England
1027317,KC Brathwaite,E Lewis,KOA Powell,SD Hope,JN Mohammed,JL Carter,JO Holder,CR Brathwaite,AR Nurse,ST Gabriel,D Bishoo,West Indies
1027319,JJ Roy,AD Hales,JE Root,JC Buttler,EJG Morgan,BA Stokes,MM Ali,CR Woakes,LE Plunkett,AU Rashid,ST Finn,England
1029001,EC Joyce,PR Stirling,WTS Porterfield,A Balbirnie,NJ O'Brien,GC Wilson,KJ O'Brien,SR Thompson,GH Dockrell,TJ Murtagh,PKD Chase,Ireland
1029003,JJ Roy,AD Hales,JE Root,EJG Morgan,JM Bairstow,SW Billings,AU Rashid,DJ Willey,MA Wood,JT Ball,LE Plunkett,England
1029819,JJ Roy,JM Vince,BM Duckett,JM Bairstow,BA Stokes,JC Buttler,MM Ali,CR Woakes,DJ Willey,JT Ball,AU Rashid,England
1029821,Tamim Iqbal,Imrul Kayes,Sabbir Rahman,Mahmudullah,Mushfiqur Rahim,Shakib Al Hasan,Mosaddek Hossain,Nasir Hossain,Mashrafe Mortaza,Shafiul Islam,Taskin Ahmed,Bangladesh
1029823,Tamim Iqbal,Imrul Kayes,Sabbir Rahman,Mahmudullah,Mushfiqur Rahim,Shakib Al Hasan,Nasir Hossain,Mosaddek Hossain,Mashrafe Mortaza,Shafiul Islam,Taskin Ahmed,Bangladesh
1030219,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,CJ Anderson,L Ronchi,JDS Neesham,MJ Santner,DAJ Bracewell,TG Southee,IS Sodhi,New Zealand
1030221,MJ Guptill,KS Williamson,TWM Latham,LRPL Taylor,CJ Anderson,L Ronchi,MJ Santner,AP Devcich,TG Southee,MJ Henry,TA Boult,New Zealand
1030223,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,CJ Anderson,L Ronchi,JDS Neesham,MJ Santner,TG Southee,MJ Henry,TA Boult,New Zealand
1030225,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,JDS Neesham,BJ Watling,AP Devcich,MJ Santner,TG Southee,TA Boult,IS Sodhi,New Zealand
1030227,AM Rahane,RG Sharma,V Kohli,MS Dhoni,MK Pandey,KM Jadhav,AR Patel,J Yadav,UT Yadav,JJ Bumrah,A Mishra,India
1031425,JJ Roy,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,CR Woakes,MA Wood,LE Plunkett,AU Rashid,England
1031427,JJ Roy,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,MA Wood,JT Ball,LE Plunkett,AU Rashid,England
1031429,JJ Roy,JE Root,AD Hales,EJG Morgan,JC Buttler,AU Rashid,JM Bairstow,DJ Willey,TS RolandNaNJones,JT Ball,ST Finn,England
1033367,EC Joyce,PR Stirling,WTS Porterfield,A Balbirnie,NJ O'Brien,KJ O'Brien,GC Wilson,GH Dockrell,BJ McCarthy,TJ Murtagh,PKD Chase,Ireland
1033371,TWM Latham,L Ronchi,NT Broom,LRPL Taylor,CJ Anderson,JDS Neesham,MJ Santner,C Munro,MJ Henry,JS Patel,HK Bennett,New Zealand
1033707,B de Leede,SL Kalis,M Veringmeier,HW Rambaldo,CC van Slobbe,HDJ Siegers,DM Braat,L Klokgieters,CG Steenstra Toussaint,EE Corder,S Siegers,Netherlands
1034819,JJ Roy,AD Hales,JE Root,EJG Morgan,JC Buttler,BA Stokes,MM Ali,CR Woakes,DJ Willey,JT Ball,AU Rashid,England
1034821,KL Rahul,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,B Kumar,JJ Bumrah,R Ashwin,India
1034823,JJ Roy,SW Billings,JM Bairstow,EJG Morgan,JC Buttler,BA Stokes,MM Ali,CR Woakes,LE Plunkett,DJ Willey,JT Ball,England
1040491,Mohammad Shahzad,Noor Ali Zadran,Rahmat Shah,Asghar Stanikzai,Hashmatullah Shahidi,Samiullah Shenwari,Mohammad Nabi,Gulbadin Naib,Dawlat Zadran,Amir Hamza,Rashid Khan,Afghanistan
1040493,Mohammad Shahzad,Noor Ali Zadran,Rahmat Shah,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Shafiqullah,Gulbadin Naib,Rashid Khan,Dawlat Zadran,Amir Hamza,Afghanistan
1040495,Mohammad Shahzad,Noor Ali Zadran,Rahmat Shah,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Gulbadin Naib,Rashid Khan,Shafiqullah,Dawlat Zadran,Amir Hamza,Afghanistan
1040497,Mohammad Shahzad,Usman Ghani,Rahmat Shah,Asghar Stanikzai,Hashmatullah Shahidi,Gulbadin Naib,Mohammad Nabi,Rashid Khan,Shafiqullah,Dawlat Zadran,Amir Hamza,Afghanistan
1040499,EC Joyce,PR Stirling,WTS Porterfield,NJ O'Brien,A Balbirnie,GC Wilson,SR Thompson,AR McBrine,GH Dockrell,TJ Murtagh,J Mulder,Ireland
1041523,L Lee,A Steyn,M du Preez,CL Tryon,M Kapp,S Luus,S Jafta,D van Niekerk,A Khaka,M Daniels,MM Letsoalo,South Africa
1041525,Sharmin Sultana,Sharmin Akhter,Shaila Sharmin,Rumana Ahmed,Nigar Sultana,Salma Khatun,Fargana Hoque,Lata Mondal,Jahanara Alam,Panna Ghosh,Khadija Tul Kubra,Bangladesh
1043953,L Lee,S Luus,M du Preez,D van Niekerk,M Kapp,D Devnarain,CL Tryon,A Khaka,M Daniels,NaN,NaN,South Africa
1043955,NE Bolton,EJ Villani,MM Lanning,EA Perry,AJ Healy,GM Harris,JL Jonassen,KM Beams,RM Farrell,HL Ferling,NaN,Australia
1043961,NE Bolton,BL Mooney,MM Lanning,EA Perry,AJ Blackwell,JL Jonassen,EJ Villani,AJ Healy,GM Harris,ML Schutt,A Wellington,Australia
1044203,AC Jayangani,PM Weerakkody,PRCS Kumarihami,HIS Mendis,MADD Surangika,MDN Hansika,LE Kaushalya,KDU Prabodhani,I Ranaweera,BMSM Kumari,SIP Fernando,Sri Lanka
1044209,NE Bolton,EJ Villani,MM Lanning,EA Perry,AJ Blackwell,HL Ferling,EA Osborne,JL Jonassen,RM Farrell,KM Beams,NaN,Australia
1049617,GK Diviya,NA Pratt,Ankita Ved,Kashish Agarwal,Samantha Singham,T Sen,Smruthi Radhakrishnan,Roshni Ramesh,NaN,NaN,NaN,Singapore
1049633,Emylia Eliani,Zumika Azmi,Christina Baret,WA Duraisingam,Sasha Azmi,DI Chunan,Noor Hayati Zakaria,Nur Aishah,Mahirah Izzati Ismail,Jannadiah Halim,NaN,Malaysia
1050223,Azhar Ali,Babar Azam,Sharjeel Khan,Shoaib Malik,Sarfraz Ahmed,Mohammad Rizwan,Imad Wasim,Mohammad Nawaz (3),Wahab Riaz,Mohammad Amir,Hasan Ali,Pakistan
1050225,Azhar Ali,Sharjeel Khan,Babar Azam,Shoaib Malik,Sarfraz Ahmed,Imad Wasim,Mohammad Rizwan,Mohammad Amir,Hasan Ali,Wahab Riaz,Mohammad Nawaz (3),Pakistan
1050227,Azhar Ali,Sharjeel Khan,Babar Azam,Shoaib Malik,Sarfraz Ahmed,Mohammad Rizwan,Imad Wasim,Mohammad Nawaz (3),Sohail Khan,Hasan Ali,Wahab Riaz,Pakistan
1050607,SW Bates,RH Priest,AE Satterthwaite,KJ Martin,SFM Devine,EC Perry,HR Huddleston,HM Rowe,TMM Newton,AC Kerr,NaN,New Zealand
1050609,Ayesha Zafar,Nahida Khan,Javeria Khan,Bismah Maroof,Nida Dar,Nain Abidi,Asmavia Iqbal,Aliya Riaz,Sana Mir,Sadia Yousuf,NaN,Pakistan
1050611,Ayesha Zafar,Nahida Khan,Javeria Khan,Bismah Maroof,Iram Javed,Sana Mir,Sidra Nawaz,Asmavia Iqbal,Diana Baig,Sadia Yousuf,Anam Amin,Pakistan
1050615,SW Bates,SFM Devine,RH Priest,AE Satterthwaite,TMM Newton,KJ Martin,EC Perry,KT Perkins,LMM Tahuhu,AC Kerr,MJG Nielsen,New Zealand
1050623,BL Mooney,NE Bolton,MM Lanning,RL Haynes,EJ Villani,AJ Healy,JL Jonassen,A Wellington,ML Schutt,L Cheatle,KM Beams,Australia
1050625,SW Bates,RH Priest,AE Satterthwaite,KJ Martin,EC Perry,KT Perkins,AM Peterson,LMM Tahuhu,EM Bermingham,HR Huddleston,AC Kerr,New Zealand
1050627,SW Bates,RH Priest,AE Satterthwaite,KJ Martin,KT Perkins,SRH Curtis,AM Peterson,EM Bermingham,AC Kerr,LMM Tahuhu,HR Huddleston,New Zealand
1051297,Tamim Iqbal,Soumya Sarkar,Imrul Kayes,Mahmudullah,Shakib Al Hasan,Mushfiqur Rahim,Sabbir Rahman,Mashrafe Mortaza,Taijul Islam,Taskin Ahmed,Rubel Hossain,Bangladesh
1051299,Tamim Iqbal,Soumya Sarkar,Mahmudullah,Mushfiqur Rahim,Shakib Al Hasan,Sabbir Rahman,Mashrafe Mortaza,Mosaddek Hossain,Taijul Islam,Taskin Ahmed,Rubel Hossain,Bangladesh
1051301,Tamim Iqbal,Soumya Sarkar,Sabbir Rahman,Shakib Al Hasan,Mushfiqur Rahim,Mahmudullah,Mosaddek Hossain,Mosharraf Hossain,Mashrafe Mortaza,Shafiul Islam,Taskin Ahmed,Bangladesh
1059195,GWHM Perera,MDN Hansika,AC Jayangani,MADD Surangika,PM Weerakkody,PRCS Kumarihami,KADA Kanchana,OU Ranasinghe,SS Weerakkody,I Ranaweera,BMSM Kumari,Sri Lanka
1059710,BB Chari,CJ Chibhabha,CR Ervine,Sikandar Raza,SC Williams,PJ Moor,E Chigumbura,AG Cremer,DT Tiripano,CT Mumba,T Panyangara,Zimbabwe
1059711,J Charles,KC Brathwaite,E Lewis,SD Hope,JL Carter,R Powell,CR Brathwaite,JO Holder,AR Nurse,SJ Benn,ST Gabriel,West Indies
1059712,BB Chari,CJ Chibhabha,CR Ervine,Sikandar Raza,SC Williams,E Chigumbura,PJ Moor,AG Cremer,DT Tiripano,CB Mpofu,TS Chisoro,Zimbabwe
1059714,DM de Silva,MDKJ Perera,N Dickwella,BKG Mendis,GSNFG Jayasuriya,WU Tharanga,DAS Gunaratne,SS Pathirana,KMDN Kulasekara,RAS Lakmal,N Pradeep,Sri Lanka
1059715,BB Chari,CJ Chibhabha,H Masakadza,CR Ervine,Sikandar Raza,SC Williams,PJ Moor,AG Cremer,DT Tiripano,TS Chisoro,CB Mpofu,Zimbabwe
1059716,H Masakadza,PJ Moor,TK Musakanda,CR Ervine,Sikandar Raza,SC Williams,MN Waller,AG Cremer,DT Tiripano,TS Chisoro,BV Vitori,Zimbabwe
1062498,FA Klokker,Aftab Ahmed (2),Zameer Khan,HAM Shah,MR Pedersen,A Bulow,A Khan,Yasir Iqbal,RB Javed,SA Ahmad,Bashir Shah,Denmark
1062500,KS Leverock,DA Minors,T Manders,DC Stovell,JJ Tucker,OL Pitcher,S Bremar,JA DeSilva,BJ Hall,GH Maybury,C Outerbridge,Bermuda
1062501,PW Gough,NAT Watkins,LE Gallichan,JW Jenner,JE Dunford,AW HawkinsNaNKay,C Bisson,CW Perchard,RJG Palmer,B Kynman,R McBey,Jersey
1062502,Manpreet Singh,MMBRSTC Wanigaratne,R Tanweer,DG Crowley,A Bonora,GP Meade,BBJL Perera,L di Giglio,Charanjeet Singh,NaN,NaN,Italy
1062503,Manpreet Singh,MMBRSTC Wanigaratne,GP Meade,A Bonora,DG Crowley,CS Sandri,BBJL Perera,R Tanweer,WTN Fernando,L di Giglio,Charanjeet Singh,Italy
1062504,Zeeshan Maqsood,A Poulose,SS Khadye,Khawar Ali,Zeeshan Siddiqui,Jatinder Singh,Amir Ali,AV Lalcheta,Mohammad Nadeem,RJ Ranpura,M Ansari,Oman
1062506,Steven Ryan Taylor,Fahad Babar,RR Timbawala,AAA Amsterdam,AL Dodson,NI Standford,TP Allen,EH Hutchinson,Ali Khan,Danial Ahmed,TK Patel,United States of America
1062507,KS Leverock,OL Pitcher,JJ Tucker,DC Stovell,DMW Rawlins,S Bremar,T Manders,JA DeSilva,DAW Hollis,GH Maybury,C Outerbridge,Bermuda
1062508,Manpreet Singh,MMBRSTC Wanigaratne,GP Meade,A Bonora,DG Crowley,CS Sandri,BBJL Perera,Fida Hussain,ZH Cheema,L di Giglio,Charanjeet Singh,Italy
1062509,Khawar Ali,A Poulose,Zeeshan Maqsood,SS Khadye,Zeeshan Siddiqui,Jatinder Singh,AV Lalcheta,Amir Ali,Mohammad Nadeem,RJ Ranpura,M Ansari,Oman
1062510,Manpreet Singh,MMBRSTC Wanigaratne,GP Meade,A Bonora,DG Crowley,CS Sandri,BBJL Perera,Fida Hussain,L di Giglio,Charanjeet Singh,NaN,Italy
1062511,PW Gough,NAT Watkins,LE Gallichan,JW Jenner,H Carlyon,AW HawkinsNaNKay,C Bisson,CW Perchard,JE Dunford,RJG Palmer,R McBey,Jersey
1062512,Aftab Ahmed (2),SA Ahmad,A Bulow,HAM Shah,FA Klokker,T Bharaj,Zameer Khan,Abdul Hashim,RB Javed,A Khan,Omar Hayat,Denmark
1062514,Fahad Babar,RR Timbawala,Abdullah Syed,AAA Amsterdam,Steven Ryan Taylor,AL Dodson,TK Patel,TP Allen,EH Hutchinson,Jasdeep Singh,P Nair,United States of America
1062580,GWHM Perera,MDN Hansika,AC Jayangani,MADD Surangika,PM Weerakkody,PRCS Kumarihami,H Karunaratne,KADA Kanchana,NND de Silva,I Ranaweera,OU Ranasinghe,Sri Lanka
1063553,Lu Cangcang,Song Yangyang,Zhang Yu Fei,Wang Yu,Tian Suqing,Han Junhui,Pu Xianliang,Song Yulin,Feng Yu,Wang Zihao,Xu Hao,China
1068731,SJ Myburgh,MJG Rippon,BN Cooper,W Barresi,RE van der Merwe,PW Borren,PM Seelaar,MP O'Dowd,PA van Meekeren,VJ Kingma,Ahsan Malik,Netherlands
1068732,SJ Myburgh,MJG Rippon,BN Cooper,W Barresi,RE van der Merwe,PW Borren,PM Seelaar,MP O'Dowd,S Snater,Ahsan Malik,PA van Meekeren,Netherlands
1068737,TP Ura,VV Morea,L Siaka,A Vala,D Bau,S Bau,MD Dai,JB Reva,N Vanua,A Nao,WT Gavera,Papua New Guinea
1068740,SJ Baard,ZE Green,MG Erasmus,JN Frylinck,CG Williams,C Viljoen,JJ Smit,Z Groenewald,SF Burger,T Lungameni,BM Scholtz,Namibia
1073401,DB Sharma,MR Meshram,DP Vaidya,M Raj,H Kaur,V Krishnamurthy,S Pandey,SK Yadav,E Bisht,RS Gayakwad,NaN,India
1073402,MF Kendal,CNIM Joyce,KJ Garth,L Delany,IMHC Joyce,CMA Shillington,MV Waldron,GH Lewis,AJ Kenealy,CJ Metcalfe,RA Lewis,Ireland
1073403,L Lee,L Wolvaardt,M du Preez,T Chetty,M Kapp,CL Tryon,D van Niekerk,S Luus,S Ismail,A Khaka,MM Letsoalo,South Africa
1073404,Sharmin Sultana,Sharmin Akhter,Sanjida Islam,Fargana Hoque,Rumana Ahmed,Nigar Sultana,Salma Khatun,Shaila Sharmin,Jahanara Alam,Panna Ghosh,Khadija Tul Kubra,Bangladesh
1073405,AC Jayangani,LE Kaushalya,MDN Hansika,PM Weerakkody,MADD Surangika,GWHM Perera,SS Weerakkody,PRCS Kumarihami,KDU Prabodhani,SIP Fernando,I Ranaweera,Sri Lanka
1073406,N Chantam,N Boochatham,S Saengsakaorat,R Padunglerd,S Tippoch,N Koncharoenkai,C Sutthiruang,S Laomi,S Saenya,R Sangsoma,S Lateh,Thailand
1073407,OSM Rae,SJ Bryce,KE Bryce,K Anderson,RV Scholes,FE Urquhart,EM Priddle,KL Gordon,K McGill,L Jack,A Aitken,Scotland
1073408,Ayesha Zafar,Nahida Khan,Javeria Khan,Bismah Maroof,Nain Abidi,Rabiya Shah,Aliya Riaz,Sana Mir,Aiman Anwer,Ghulam Fatima,Nashra Sandhu,Pakistan
1073410,OSM Rae,SJ Bryce,KE Bryce,K Anderson,RV Scholes,FE Urquhart,EM Priddle,KL Gordon,K McGill,L Jack,A Aitken,Scotland
1073411,DB Sharma,MDT Kamini,V Krishnamurthy,H Kaur,S Pandey,M Joshi,E Bisht,Poonam Yadav,DP Vaidya,NaN,NaN,India
1073412,M Mupachikwa,M Musonda,L Tshuma,A Ndiraya,SM Mayers,P Marange,P Mujaji,J Nkomo,T Granger,N Mutasa,A Sibanda,Zimbabwe
1073413,Sharmin Sultana,Sanjida Islam,Sharmin Akhter,Fargana Hoque,Rumana Ahmed,Nigar Sultana,Salma Khatun,Shaila Sharmin,Jahanara Alam,Khadija Tul Kubra,Suraiya Azmin,Bangladesh
1073415,L Tshuma,M Mupachikwa,M Musonda,A Ndiraya,N Nyathi,SM Mayers,P Marange,P Mujaji,J Nkomo,T Granger,N Mutasa,Zimbabwe
1073416,SM Kavanagh,CNIM Joyce,KJ Garth,L Delany,CMA Shillington,IMHC Joyce,GH Lewis,MV Waldron,LK O'Reilly,AJ Kenealy,CJ Metcalfe,Ireland
1073417,M Mupachikwa,M Musonda,L Tshuma,A Ndiraya,N Nyathi,SM Mayers,P Marange,P Mujaji,J Nkomo,N Mutasa,T Granger,Zimbabwe
1073418,N Chantam,S Saengsakaorat,N Boochatham,N Koncharoenkai,S Tippoch,C Sutthiruang,N Chaiwai,R Padunglerd,S Laomi,R Sangsoma,S Saenya,Thailand
1073419,T Ruma,B Tau,P Siaka,K Oala,V Frank,S Jimmy,H Buruka,K Arua,R Oa,M Tom,K John,Papua New Guinea
1073420,OSM Rae,FE Urquhart,KE Bryce,K Anderson,RV Scholes,EM Priddle,SJ Bryce,KL Gordon,K McGill,A Aitken,AH Maqsood,Scotland
1073421,MR Meshram,DB Sharma,M Raj,H Kaur,V Krishnamurthy,DP Vaidya,S Pandey,S Verma,E Bisht,Poonam Yadav,RS Gayakwad,India
1073422,Ayesha Zafar,Nahida Khan,Javeria Khan,Bismah Maroof,Rabiya Shah,Nain Abidi,Aliya Riaz,Sana Mir,Aiman Anwer,Nashra Sandhu,Ghulam Fatima,Pakistan
1073423,MF Kendal,CNIM Joyce,KJ Garth,CMA Shillington,L Delany,IMHC Joyce,GH Lewis,MV Waldron,RA Lewis,LK O'Reilly,CJ Metcalfe,Ireland
1073424,MDN Hansika,AC Jayangani,PRCS Kumarihami,MADD Surangika,PM Weerakkody,LE Kaushalya,GWHM Perera,SS Weerakkody,KDU Prabodhani,I Ranaweera,BMSM Kumari,Sri Lanka
1073425,Sharmin Sultana,Sharmin Akhter,Sanjida Islam,Fargana Hoque,Rumana Ahmed,Nigar Sultana,Salma Khatun,Shaila Sharmin,Jahanara Alam,Panna Ghosh,Khadija Tul Kubra,Bangladesh
1073426,Ayesha Zafar,Nahida Khan,Javeria Khan,Bismah Maroof,Nain Abidi,Aliya Riaz,Sana Mir,Aiman Anwer,Nashra Sandhu,Sadia Yousuf,NaN,Pakistan
1073427,Ayesha Zafar,Nahida Khan,Javeria Khan,Bismah Maroof,Nain Abidi,Aliya Riaz,Sana Mir,Rabiya Shah,Sadia Yousuf,Nashra Sandhu,Maham Tariq,Pakistan
1073429,MF Kendal,CNIM Joyce,KJ Garth,L Delany,IMHC Joyce,GH Lewis,CMA Shillington,MV Waldron,LK O'Reilly,AJ Kenealy,CJ Metcalfe,Ireland
1073430,L Lee,L Wolvaardt,M du Preez,T Chetty,CL Tryon,D van Niekerk,M Kapp,S Luus,S Ismail,A Khaka,MM Letsoalo,South Africa
